Tools,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,Frame,Time [sec],Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473566,1479.893,1,OK,77.2380091,-45.7803129,140.1789312,22.448,-79.962,-8.553,0.0372639,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473574,1479.918,1,OK,77.1711696,-45.9687216,140.3051405,22.647,-80.043,-8.348,0.040194,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473582,1479.943,1,OK,77.6836025,-46.1000966,139.830491,23.092,-80.364,-7.785,0.0495262,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473590,1479.968,1,OK,78.1189361,-46.4295174,139.4093281,23.586,-80.581,-7.115,0.0501994,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473598,1479.993,1,OK,78.8911957,-46.7887703,138.7528726,24.029,-80.936,-6.464,0.0302603,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473606,1480.018,1,OK,79.092706,-47.0904952,138.5390217,24.656,-81.11,-5.384,0.0537124,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473614,1480.043,1,OK,79.1207574,-47.4439969,138.3441339,25.303,-81.403,-4.598,0.061217,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473622,1480.068,1,OK,79.4397431,-47.6228578,137.8379055,25.752,-81.888,-4.349,0.0255408,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473630,1480.093,1,OK,79.539725,-47.5290588,137.6624102,26.019,-82.011,-4.029,0.0484775,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473638,1480.118,1,OK,79.7153844,-47.5990199,137.1582902,26.403,-82.464,-3.795,0.0267872,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473646,1480.143,1,OK,79.738437,-47.4287558,136.8033454,26.863,-82.844,-3.391,0.0601042,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473654,1480.168,1,OK,79.7758193,-47.3363436,136.4318958,27.195,-83.272,-3.186,0.0777519,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473662,1480.193,1,OK,79.5951653,-47.250922,136.1911919,27.652,-83.723,-2.771,0.1169138,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473670,1480.218,1,OK,80.0863157,-47.0131047,135.2726221,28.023,-84.503,-2.796,0.0761199,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473678,1480.243,1,OK,80.061055,-46.8312061,135.1543594,28.209,-84.738,-2.725,0.1071278,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473686,1480.268,1,OK,80.0424742,-46.6916815,135.1663442,28.216,-84.795,-2.709,0.1402698,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473694,1480.293,1,OK,79.7538407,-46.5847826,135.1776886,28.349,-85.223,-2.77,0.1584437,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473702,1480.318,1,OK,79.6315743,-46.7310077,134.4536361,28.776,-86.406,-2.858,0.0762133,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473710,1480.343,1,OK,79.4088253,-46.3531126,134.4086429,28.984,-86.903,-2.834,0.1369725,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473718,1480.368,1,OK,79.1792999,-46.2544212,134.1531538,29.164,-87.611,-3.029,0.1212061,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473726,1480.393,1,OK,79.1384602,-46.0753335,133.7499823,29.394,-88.492,-3.458,0.0838846,0
